920,Prineville
921,Prospect Creek
922,Prosser
923,Providence
924,Provincetown
925,Provo
926,Pueblo
927,Pullman
928,Punta Gorda
929,Quakertown
930,Quantico
931,Queensbury
932,Quincy
933,Quinhagak
934,Quitman
935,Racine
936,Raleigh-durham
937,Ramona
938,Rancho Murieta
939,Rapid City
940,Raton
941,Rawlins
942,Reading
943,Red Bluff
944,Red Dog
945,Red River
946,Redding
947,Redlands
948,Redmond-Bend
949,Redstone
950,Redwood Falls
951,Reno
952,Rensselaer
953,Renton
954,Rhinebeck
955,Rhinelander
956,Richfield
957,Richmond
958,Richmond Heights
959,Ridgely
960,Rifle
961,Riverside
962,Riverton WY
963,Roanoke VA
964,Robinson
965,Rochester
966,Rock Hill
967,Rock Springs
968,Rockford
969,Rockingham
970,Rockland
971,Rockport
972,Rocky Mount
973,Rome
974,Rosecrans
975,Roswell
976,Roxboro
977,Ruby
978,Ruidoso
979,Russell
980,Russian Mission
981,Rutland
982,Sabetha
983,Sacramento
984,Safford
985,Saginaw
986,Saint Cloud
987,Saint George
988,Salem
989,Salina
990,Salinas
991,Salisbury
992,Sallisaw
993,Salmon
994,Salt Lake City
995,Saluda
996,San Angelo
997,San Antonio
998,San Bernardino
999,San Carlos
1000,San Clemente Island
1001,San Diego
1002,San Francisco
1003,San Jose
1004,San Luis
1005,San Luis Obispo
1006,San Marcos
1007,San Nicolas Island
1008,Sand Point
1009,Sand Springs
1010,Sandpoint
1011,Sandusky
1012,Sanford
1013,Santa Ana
1014,Santa Barbara
1015,Santa Fe
1016,Santa Maria
1017,Santa Monica
1018,Santa Rosa
1019,Santa Ynez
1020,Saranac Lake
1021,Sarasota
1022,SARATOGA
1023,Sault Ste Marie
1024,Savannah
1025,Savoonga
1026,Scammon Bay
1027,Scotia NY
1028,Scott City
1029,Scottsbluff
1030,Scottsdale
1031,Scranton
1032,Seattle
1033,Sebring
1034,Sedona
1035,Selawik
1036,Seldovia
1037,Selma
1038,Sewanee
1039,Seward
1040,Shageluk
1041,Shaktoolik
1042,Sheboygan
1043,Shelbyville
1044,Shell Knob
1045,Shelton
1046,Shemya
1047,Sheridan
1048,Shishmaref
1049,Show Low
1050,Shreveport
1051,Shungnak
1052,Sidney
1053,Sikeston
1054,Silver Springs
1055,Sioux City
1056,Sioux Falls
1057,Sitka
1058,Skagit
1059,Skagway
1060,Sleetmute
1061,Smithfield
1062,Smyrna
1063,Socorro
1064,Soldotna
1065,Somerset
1066,Somerville
1067,Sonora
1068,South Bend
1069,South Haven
1070,South Lake Tahoe
1071,South Naknek
1072,Sparrevohn
1073,Spartangurg
1074,Spearfish-South Dakota
1075,Spencer
1076,Spokane
1077,Springfield
1078,St Mary's
1079,St. Augustine Airport
1080,St. Louis
1081,St. Michael
1082,St. Paul
1083,St. Paul Island
1084,St. Petersburg
1085,State College Pennsylvania
1086,Statesboro
1087,Statesville
1088,Steamboat Springs
1089,Stephenville
1090,Sterling
1091,Stevens Point
1092,Stillwater
1093,Stinson
1094,Stockton
1095,Stratford
1096,Stuart
1097,Sublette
1098,Sugar Land
1099,Summit
1100,Sumter
1101,Sutton
1102,Sylacauga
1103,Sylvania
1104,Syracuse
1105,Tacoma
1106,Talkeetna
1107,Talladega
1108,Tallahassee
1109,Tampa
1110,Taos
1111,Tatalina
1112,Taunton
1113,Teller
1114,Telluride
1115,Temple
1116,Terre Haute
1117,Teterboro
1118,Texarkana
1119,The Dalles
1120,Thief River Falls
1121,Thomasville
1122,Thomson
1123,Tifton
1124,Tillamook
1125,Tin City
1126,Titusville
1127,Toccoa
1128,Togiak Village
1129,Tok
1130,Toksook Bay
1131,Toledo
1132,Tomah
1133,Tonopah
1134,Topeka
1135,Torrance
1136,Tracy
1137,Traverse City
1138,Trenton
1139,Troutdale
1140,Troy
1141,Truckee
1142,Truth Or Consequences
1143,Tucson
1144,Tucumcari
1145,Tulsa
1146,Tunica
1147,Tupelo
1148,Tuscaloosa AL
1149,Twenty Nine Palms
1150,Twin Falls
1151,Tyler
1152,Ukiah
1153,Ulysses
1154,Unalakleet
1155,Unalaska
1156,Upland
1157,Uvalde
1158,Vail
1159,Valdez
1160,Valdosta
1161,Valentine
1162,Valparaiso
1163,Valparaiso IN
1164,Van Nuys
1165,Van Wert
1166,Venetie
1167,Venice
1168,Vernal
1169,Vero Beach
1170,Victoria
1171,Victorville
1172,Villa Rica
1173,Vineyard Haven MA
1174,Visalia
1175,Waco
1176,Wahiawa
1177,Wahoo
1178,Waikoloa Village
1179,Wainwright
1180,Wales
1181,Walla Walla
1182,Wallace
1183,Wallops Island
1184,Warsaw
1185,Washington
1186,Washington County
1187,Wasilla
1188,Wassau
1189,Waterloo
1190,Watertown
1191,Watsonville
1192,Waupaca
1193,Wausau
1194,Waycross
1195,Wellington
1196,Wenatchee
